Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01JWE4WHSZCKBGFB5925SG56CA,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-05-29T13:49:41.590Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JWE4W4MXZC0QQ0MD6ANX2KQB,2025-05-29T13:49:41.590Z,400,,variant_01JWE4WJ04HKJBFE1B52G5HBH5,S,SWEATPANTS-S,,,,,true,false,,2025-05-29T13:49:41.769Z,,,,,,Size,S,,,,10,15,prod_01JWE4WHSZCKBGFB5925SG56CA,2025-05-29T13:49:41.769Z,0,,
prod_01JWE4WHSZCKBGFB5925SG56CA,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-05-29T13:49:41.590Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JWE4W4MXZC0QQ0MD6ANX2KQB,2025-05-29T13:49:41.590Z,400,,variant_01JWE4WJ04S36Q0RQ799TYQ808,M,SWEATPANTS-M,,,,,true,false,,2025-05-29T13:49:41.769Z,,,,,,Size,M,,,,10,15,prod_01JWE4WHSZCKBGFB5925SG56CA,2025-05-29T13:49:41.769Z,0,,
prod_01JWE4WHSZCKBGFB5925SG56CA,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-05-29T13:49:41.590Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JWE4W4MXZC0QQ0MD6ANX2KQB,2025-05-29T13:49:41.590Z,400,,variant_01JWE4WJ05WWBP0T9EC80TCRES,L,SWEATPANTS-L,,,,,true,false,,2025-05-29T13:49:41.769Z,,,,,,Size,L,,,,10,15,prod_01JWE4WHSZCKBGFB5925SG56CA,2025-05-29T13:49:41.769Z,0,,
prod_01JWE4WHSZCKBGFB5925SG56CA,sweatpants,Medusa Sweatpants,published,"Reimagine the feeling of classic sweatpants. With our cotton sweatpants, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,,,2025-05-29T13:49:41.590Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-back.png,,,false,,,,,sc_01JWE4W4MXZC0QQ0MD6ANX2KQB,2025-05-29T13:49:41.590Z,400,,variant_01JWE4WJ05ZM7FN7HXPAFN5RMV,XL,SWEATPANTS-XL,,,,,true,false,,2025-05-29T13:49:41.769Z,,,,,,Size,XL,,,,10,15,prod_01JWE4WHSZCKBGFB5925SG56CA,2025-05-29T13:49:41.769Z,0,,
prod_01JWE4WHSZMCWGXDBPRXPRTTA2,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-05-29T13:49:41.590Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JWE4W4MXZC0QQ0MD6ANX2KQB,2025-05-29T13:49:41.590Z,400,,variant_01JWE4WJ027DSQF53DX5KN6AKC,S,SWEATSHIRT-S,,,,,true,false,,2025-05-29T13:49:41.769Z,,,,,,Size,S,,,,10,15,prod_01JWE4WHSZMCWGXDBPRXPRTTA2,2025-05-29T13:49:41.769Z,0,,
prod_01JWE4WHSZMCWGXDBPRXPRTTA2,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-05-29T13:49:41.590Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JWE4W4MXZC0QQ0MD6ANX2KQB,2025-05-29T13:49:41.590Z,400,,variant_01JWE4WJ02DD5X328P089N90FW,M,SWEATSHIRT-M,,,,,true,false,,2025-05-29T13:49:41.769Z,,,,,,Size,M,,,,10,15,prod_01JWE4WHSZMCWGXDBPRXPRTTA2,2025-05-29T13:49:41.769Z,0,,
prod_01JWE4WHSZMCWGXDBPRXPRTTA2,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-05-29T13:49:41.590Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JWE4W4MXZC0QQ0MD6ANX2KQB,2025-05-29T13:49:41.590Z,400,,variant_01JWE4WJ03Q6ZGVMFSD49225X1,XL,SWEATSHIRT-XL,,,,,true,false,,2025-05-29T13:49:41.769Z,,,,,,Size,XL,,,,10,15,prod_01JWE4WHSZMCWGXDBPRXPRTTA2,2025-05-29T13:49:41.769Z,0,,
prod_01JWE4WHSZMCWGXDBPRXPRTTA2,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-05-29T13:49:41.590Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JWE4W4MXZC0QQ0MD6ANX2KQB,2025-05-29T13:49:41.590Z,400,,variant_01JWE4WJ03T1NB3429TBEJXPEJ,L,SWEATSHIRT-L,,,,,true,false,,2025-05-29T13:49:41.769Z,,,,,,Size,L,,,,10,15,prod_01JWE4WHSZMCWGXDBPRXPRTTA2,2025-05-29T13:49:41.769Z,0,,
prod_01JWE4WHSZSQ1SH2SFY00NJ3Z2,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-05-29T13:49:41.587Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JWE4W4MXZC0QQ0MD6ANX2KQB,2025-05-29T13:49:41.587Z,400,,variant_01JWE4WHZSTV3H4K832G08Z98F,S / Black,SHIRT-S-BLACK,,,,,true,false,,2025-05-29T13:49:41.768Z,,,,,,Size,S,Color,Black,,10,15,prod_01JWE4WHSZSQ1SH2SFY00NJ3Z2,2025-05-29T13:49:41.768Z,0,,
prod_01JWE4WHSZSQ1SH2SFY00NJ3Z2,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-05-29T13:49:41.587Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JWE4W4MXZC0QQ0MD6ANX2KQB,2025-05-29T13:49:41.587Z,400,,variant_01JWE4WHZTCZE5ZXR1DRNSDYT7,S / White,SHIRT-S-WHITE,,,,,true,false,,2025-05-29T13:49:41.768Z,,,,,,Size,S,Color,White,,10,15,prod_01JWE4WHSZSQ1SH2SFY00NJ3Z2,2025-05-29T13:49:41.768Z,0,,
